,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
0,admin,Admin,1,admin,admins,fr,,1,1,90019,1,1.0,4.0,img/user/1033_128px.png,False,5
1,demo,Demo,2,demo,users,fr,,1,1,90020,1,1.0,4.0,img/user/1033_128px.png,False,5
2,dirg,Yoann MARQUES,3,dirg,MGT,fr,,1,1,90001,1,1.0,4.0,img/user/1033_128px.png,False,5
3,assist,Lucy ROBERT,4,assist,MGT,fr,,1,1,90002,1,2.0,4.0,img/user/1033_128px.png,False,5
4,dirpro,Lucas RICHARD,5,dirpro,MGT,fr,,1,1,90003,1,3.0,4.0,img/user/1033_128px.png,False,5
5,chefpro,Daniel SILVA,6,chefpro,ERP,fr,,1,1,90004,1,4.0,4.0,img/user/1033_128px.png,False,5
6,consultant,Charles MARTIN,7,consultant,CST,fr,,1,1,90005,1,5.0,4.0,img/user/1033_128px.png,False,5
7,demoerp,Kevin DEMOERP,8,demoerp,ERP,fr,saleman.dashboard.view.sample,1,1,90006,1,6.0,3.0,img/user/1033_128px.png,False,5
8,democrm,Charles DEMOCRM,9,democrm,CRM,fr,crm.root.opportunity,1,1,90007,2,7.0,1.0,img/user/1033_128px.png,False,5
9,comn,Tony RAYMOND,10,comn,VTE,fr,,1,1,90008,4,8.0,1.0,img/user/1033_128px.png,False,5
10,coms1,Thomas LAMY,11,coms1,VTE,fr,,1,1,90009,3,9.0,2.0,img/user/1033_128px.png,False,5
11,coms2,Anne GIRAULT,12,coms2,VTE,fr,,1,1,90010,5,10.0,2.0,img/user/1012_128px.png,False,5
12,comi,Dimitri GEOFFROY,13,comi,VTE,fr,,1,1,90011,1,11.0,3.0,img/user/1033_128px.png,False,5
13,achat,Alex DAVID,14,achat,ACH,fr,,1,1,90012,1,12.0,4.0,img/user/1033_128px.png,False,5
14,prod,William ANDRE,15,prod,OPS,fr,,1,1,90013,1,13.0,4.0,img/user/1033_128px.png,False,5
15,dirsupp,David MAURIN,16,dirsupp,OPS,fr,,1,1,90014,1,14.0,4.0,img/user/1033_128px.png,False,5
16,supp1,Cyril MARCHAL,17,supp1,OPS,fr,,1,1,90015,1,15.0,4.0,img/user/1033_128px.png,False,5
17,supp2,Robin COSTA,18,supp2,OPS,fr,,1,1,90016,1,16.0,4.0,img/user/1033_128px.png,False,5
18,dirrh,Romane COLIN,19,dirrh,HRM,fr,,1,1,90017,1,17.0,4.0,img/user/1012_128px.png,False,5
19,compta,Victoria LOUIS,20,compta,CPT,fr,,1,1,90018,1,18.0,4.0,img/user/1012_128px.png,False,5
20,client,123 Service,21,client,CLT,fr,wizard-client-view,1,1,88,1,,,img/user/88_120px.png,False,5
21,fournisseur,TOP Components,22,fournisseur,FRN,fr,wizard-supplier-view,1,1,148,1,,,img/user/148_128px.png,False,5
