,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
0,3,1,8,blog,2.0,millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
1,3,1,8,blog,3.0,love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
2,3,1,8,blog,4.0,joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
3,3,1,8,blog,5.0,joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
4,4,1,8,blog,2.0,millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
5,4,1,8,blog,3.0,love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
6,4,1,8,blog,4.0,joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
7,4,1,8,blog,5.0,joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
8,5,1,8,blog,2.0,millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
9,5,1,8,blog,3.0,love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
10,5,1,8,blog,4.0,joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
11,5,1,8,blog,5.0,joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
12,6,1,8,blog,2.0,millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
13,6,1,8,blog,3.0,love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
14,6,1,8,blog,4.0,joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
15,6,1,8,blog,5.0,joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
16,1,1,9,help,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about
17,2,1,9,help,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,working-on-your-site
18,7,1,10,joomla,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,millions
19,8,1,10,joomla,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,1,love
20,9,1,10,joomla,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,joomla
21,10,1,9,help,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,new-feature-workflows
22,11,1,11,typography,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,typography
