,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
0,admin,Admin,admin,admins,en,,1,1,1,90019,1,,4.0,img/user/1033_128px.png
1,demo,Demo,demo,users,en,,2,1,1,90020,1,,4.0,img/user/1033_128px.png
2,psdt,Yoann MARQUES,psdt,MNGT,en,,3,1,1,90001,1,1.0,4.0,img/user/1033_128px.png
3,assist,Lucy ROBERT,assist,MNGT,en,,4,1,1,90002,1,2.0,4.0,img/user/1033_128px.png
4,projdir,Lucas RICHARD,projdir,MNGT,en,,5,1,1,90003,1,3.0,4.0,img/user/1033_128px.png
5,projmg,Daniel SILVA,projmg,ERP,en,,6,1,1,90004,1,4.0,4.0,img/user/1033_128px.png
6,consultant,Charles MARTIN,consultant,CST,en,,7,1,1,90005,1,5.0,4.0,img/user/1033_128px.png
7,demoerp,Kevin DEMOERP,demoerp,ERP,en,saleman.dashboard.view.sample,8,1,1,90006,1,6.0,4.0,img/user/1033_128px.png
8,democrm,Charles DEMOCRM,democrm,CRM,en,crm.root.opportunity,9,1,1,90007,2,7.0,1.0,img/user/1033_128px.png
9,smn2,Tony RAYMOND,smn2,SALE,en,,10,1,1,90008,4,8.0,1.0,img/user/1033_128px.png
10,sms1,Thomas LAMY,sms1,SALE,en,,11,1,1,90009,3,9.0,2.0,img/user/1033_128px.png
11,sms2,Anne GIRAULT,sms2,SALE,en,,12,1,1,90010,5,10.0,2.0,img/user/1012_128px.png
12,smi1,Dimitri GEOFFROY,smi1,SALE,en,,13,1,1,90011,1,11.0,3.0,img/user/1033_128px.png
13,purch,Alex DAVID,purch,PURCH,en,,14,1,1,90012,1,12.0,4.0,img/user/1033_128px.png
14,prod,William ANDRE,prod,OPTS,en,,15,1,1,90013,1,13.0,4.0,img/user/1033_128px.png
15,suppmg,David MAURIN,suppmg,OPTS,en,,16,1,1,90014,1,14.0,4.0,img/user/1033_128px.png
16,supp1,Cyril MARCHAL,supp1,OPTS,en,,17,1,1,90015,1,15.0,4.0,img/user/1033_128px.png
17,supp2,Robin COSTA,supp2,OPTS,en,,18,1,1,90016,1,16.0,4.0,img/user/1033_128px.png
18,hrmg,Romane COLIN,hrmg,HRSC,en,,19,1,1,90017,1,17.0,4.0,img/user/1012_128px.png
19,account,Victoria LOUIS,account,ACCO,en,,20,1,1,90018,1,18.0,4.0,img/user/1012_128px.png
20,client,123 Service,client,CLT,en,wizard-client-view,21,1,1,88,1,,,img/user/88_120px.png
21,supplier,TOP Components,supplier,SUP,en,wizard-supplier-view,22,1,1,148,1,,,img/user/148_128px.png
